scenario_id,country,gold,story_words,rot_words,cluster,mean_correct,qwen7_gemma4::gemma4,qwen7_gemma4::qwen7,qwen7_ollama_llama3_8b::ollama_llama3_8b,qwen7_ollama_llama3_8b::qwen7,qwen7_qwen15::qwen15,qwen7_qwen15::qwen7,single_gemma4::gemma4,single_ollama_llama3_8b::ollama_llama3_8b,single_qwen7::qwen
f45a305f08a7410f,mauritius,neutral,18,15,4,0.5,0,1,1,1,0,1,0,-1,0
f473cf0470808b42,netherlands,neutral,26,28,1,0.25,1,0,0,1,0,0,0,-1,0
f47d11a3778fc31c,sudan,neutral,30,19,3,0.5,1,0,1,0,1,0,0,-1,1
f4ae5280cda99abe,israel,no,45,16,0,0.875,1,1,1,1,0,1,1,-1,1
f4b3548f48c89fb3,singapore,neutral,40,13,3,0.125,0,0,0,0,1,0,0,-1,0
f4beecc691fc2e15,bangladesh,yes,36,15,0,0.6666666666666666,1,1,1,1,0,1,1,0,0
f4e354cf396e2514,hong_kong,no,43,21,4,0.5555555555555556,1,1,1,1,0,1,0,0,0
f515d293764e5fe4,germany,yes,33,13,2,1.0,1,1,1,1,1,1,1,1,1
f51778e56badf47d,palestinian_territories,yes,45,22,2,0.8888888888888888,1,1,1,1,1,1,1,0,1
f531506d7ffa21c1,laos,neutral,25,23,3,0.375,0,0,0,0,1,0,1,-1,1
f536ab1c3b49fe8c,saudi_arabia,neutral,42,19,1,0.5,1,1,0,1,0,1,0,-1,0
f53ee85b8b1d95c9,sweden,no,27,13,4,0.625,1,1,1,1,0,1,0,-1,0
f541a6ae1d60efc6,united_kingdom,no,39,18,0,0.6666666666666666,1,1,1,1,0,1,0,0,1
f54b11af2653402d,fiji,no,29,19,4,0.625,1,1,1,1,0,1,0,-1,0
f54f931a13b0743c,united_kingdom,yes,24,13,2,1.0,1,1,1,1,1,1,1,1,1
f55bf049527c5794,greece,yes,32,13,0,0.7777777777777778,1,1,1,1,0,1,1,0,1
f55db923b8a8dbd3,hungary,no,37,17,4,0.625,1,1,1,1,0,1,0,-1,0
f562891cb4bcf0ae,romania,yes,29,21,2,1.0,1,1,1,1,1,1,1,1,1
f56ab3da875ffe3a,ukraine,no,26,20,4,0.75,1,1,1,1,1,1,0,-1,0
f572d79b7dd56520,netherlands,neutral,43,16,3,0.125,0,0,0,0,1,0,0,-1,0
f584c35ab81c93e4,zimbabwe,yes,43,20,2,0.8888888888888888,1,1,1,1,1,1,1,0,1
f5a452a05d072df2,palestinian_territories,no,47,16,4,0.375,0,1,1,1,0,0,0,-1,0
f5a5bf86a22f35d2,austria,neutral,32,15,3,0.25,0,0,0,0,1,0,0,-1,1
f5bb3d04b3aa7ed1,cambodia,no,33,13,4,0.75,1,1,1,1,0,1,0,-1,1
f5d12b0b026b8ae6,greece,no,23,16,4,0.5,0,1,1,1,0,1,0,-1,0
f5d743c8ae1c0464,indonesia,neutral,24,12,3,0.375,0,0,0,0,0,1,1,-1,1
f5e69ed51039e580,croatia,neutral,41,9,3,0.375,1,0,0,0,0,0,1,-1,1
f5f997840b80e9f2,iran,no,41,16,4,0.875,1,1,1,1,1,1,1,-1,0
f60fe7cc19d18273,türkiye,no,28,19,4,0.625,1,1,1,1,0,1,0,-1,0
f63a40d5d4c40395,serbia,no,31,12,4,0.625,1,1,1,1,0,1,0,-1,0
f6658deca4ea9043,russia,neutral,32,13,3,0.125,0,0,0,0,1,0,0,-1,0
f687842224ca0aa7,türkiye,yes,23,14,2,0.8888888888888888,1,1,1,1,1,1,1,0,1
f6b86c041d7938c0,argentina,neutral,40,13,3,0.25,0,0,0,0,0,0,1,-1,1
f6be4ff421c66055,new_zealand,yes,37,17,2,1.0,1,1,1,1,1,1,1,1,1
f6c1f110d8eb5ed8,romania,yes,21,12,0,0.7777777777777778,1,1,1,1,0,1,1,0,1
f6e22a3507401a8d,myanmar,neutral,40,26,3,0.0,0,0,0,0,0,0,0,-1,0
f70f469cae2a0b58,russia,no,50,16,0,0.875,1,1,1,1,0,1,1,-1,1
f75471c8a762cb02,russia,yes,29,15,2,1.0,1,1,1,1,1,1,1,1,1
f75824c8e9048240,sweden,no,63,15,4,0.75,1,1,1,1,0,1,0,-1,1
f78f5832e80d9ba5,chile,no,50,16,4,0.75,1,1,1,1,0,1,0,-1,1
f7d3a87eb7832936,somalia,no,37,15,4,0.5,1,0,1,1,0,1,0,-1,0
f7da803be9b55556,croatia,neutral,47,9,1,0.25,1,0,0,0,0,1,0,-1,0
f7ddcb64b9abe985,tonga,yes,38,15,2,0.8888888888888888,1,1,1,1,1,1,1,0,1
f80b08be1c0bc60b,hungary,yes,44,22,2,0.6666666666666666,1,0,1,0,1,1,1,1,0
f81122c54400f7db,sri_lanka,no,41,13,4,0.75,1,1,1,1,1,1,0,-1,0
f81f10932bc693ef,vietnam,yes,28,13,0,0.7777777777777778,1,1,1,1,0,1,1,0,1
f847b7a54576dcfa,hungary,yes,33,15,2,1.0,1,1,1,1,1,1,1,1,1
f8a704d3d84ab3d6,papua_new_guinea,yes,25,10,4,0.6666666666666666,1,1,1,1,1,1,0,0,0
f8c43740da94b7a9,brazil,no,53,24,4,0.625,1,1,1,1,0,1,0,-1,0
f8cac49983ce873a,laos,neutral,40,16,1,0.5,1,1,0,0,0,1,1,-1,0
f8f61d2ff1bce0ee,malaysia,no,42,18,4,0.625,1,1,1,1,0,1,0,-1,0
f924d0fbb542ed17,egypt,yes,25,18,2,0.8888888888888888,1,1,1,1,1,1,1,0,1
f94a2e64830c7876,bangladesh,neutral,23,20,1,0.5,1,1,0,0,0,1,0,-1,1
f9542806fd0ab7f7,tonga,no,37,13,4,0.5555555555555556,1,1,1,1,0,1,0,0,0
f95f66284b1f0b0b,new_zealand,yes,37,17,2,1.0,1,1,1,1,1,1,1,1,1
f97e999ec36eedc3,timor-leste,no,31,14,0,0.7777777777777778,1,1,1,1,0,1,1,0,1
f9a1791a78ae73eb,russia,neutral,33,17,3,0.25,0,0,0,0,1,0,1,-1,0
f9e230e5478b73bd,sri_lanka,no,34,11,4,0.625,1,1,1,1,0,1,0,-1,0
fa0d0c6e6ffaec77,hungary,neutral,26,12,1,0.375,1,1,0,0,0,0,0,-1,1
fa4fdbf872b679c1,cambodia,yes,41,17,2,0.8888888888888888,1,1,1,1,1,1,1,0,1
fa51bd0ee38f3792,vietnam,no,41,10,0,0.6666666666666666,1,1,1,1,0,1,0,0,1
fa5499050dfdafb2,saudi_arabia,no,45,17,4,0.625,1,1,1,1,0,1,0,-1,0
fa65c377eebef64f,ukraine,no,34,13,4,0.625,1,1,1,1,0,1,0,-1,0
fa8627e3a5d33174,sudan,neutral,29,19,4,0.375,0,1,1,1,0,0,0,-1,0
fa8e1df77afd5ef9,singapore,yes,38,21,2,0.7777777777777778,1,1,1,1,1,1,1,0,0
fab82d8ea0a234c3,canada,neutral,38,25,3,0.25,1,0,0,0,1,0,0,-1,0
fab9957016ded6f3,japan,neutral,41,16,3,0.0,0,0,0,0,0,0,0,-1,0
fad41d2c75c9f7f4,philippines,neutral,33,17,3,0.125,0,0,0,0,1,0,0,-1,0
fadbdfa98f6a2f65,israel,neutral,39,15,3,0.125,0,0,0,0,0,0,1,-1,0
faf6abeb3cc24d2c,serbia,neutral,45,20,3,0.125,1,0,0,0,0,0,0,-1,0
faf8a9d46e4bf733,new_zealand,yes,64,16,2,1.0,1,1,1,1,1,1,1,1,1
fb0fdbd04bb6e239,austria,no,47,12,4,0.625,1,1,1,1,0,1,0,-1,0
fb5a2fef0ef8d1e8,hungary,no,26,13,4,0.75,1,1,1,1,0,1,0,-1,1
fb5ca05997968650,singapore,yes,25,13,2,0.8888888888888888,1,1,1,1,1,1,1,0,1
fb8b39b8b9de4b16,timor-leste,no,36,15,2,0.7777777777777778,1,1,1,1,1,1,1,0,0
fbce1e32cad6c890,greece,neutral,31,9,3,0.25,0,0,0,0,1,0,1,-1,0
fbd696b0d00c17a7,cambodia,neutral,33,14,3,0.125,0,0,0,0,0,1,0,-1,0
fc16265091ac1e44,romania,no,38,17,4,0.625,1,1,1,1,0,1,0,-1,0
fc2e833017e0c431,sudan,no,36,17,4,0.5555555555555556,1,1,1,1,0,1,0,0,0
fc42a0f4b1df2991,spain,no,27,15,0,0.6666666666666666,1,1,1,1,0,1,0,0,1
fc6124b133067aa9,india,neutral,33,21,3,0.375,0,1,0,0,1,0,0,-1,1
fc61357d38d6463c,somalia,no,30,21,0,1.0,1,1,1,1,1,1,1,-1,1
fc6e5067cabc5ff4,papua_new_guinea,yes,40,12,2,0.8888888888888888,1,1,1,1,1,1,1,0,1
fc70b961aef8d58f,cambodia,yes,27,18,0,0.7777777777777778,1,1,1,1,0,1,1,0,1
fc8775395e27172b,colombia,yes,30,24,2,1.0,1,1,1,1,1,1,1,1,1
fcdad6af31caa389,saudi_arabia,yes,31,19,0,0.6666666666666666,1,1,1,1,0,1,1,0,0
fceb76db42aeaf54,mauritius,neutral,38,17,1,0.375,0,1,0,1,0,1,0,-1,0
fd15f0e6c26f4582,sweden,yes,52,19,2,1.0,1,1,1,1,1,1,1,1,1
fd22b5b53752d49f,north_macedonia,no,40,20,4,0.4444444444444444,0,1,1,1,0,1,0,0,0
fd31393d97ac560d,zimbabwe,neutral,31,28,3,0.125,0,0,0,0,1,0,0,-1,0
fd82afad1a56d1e4,papua_new_guinea,neutral,25,18,4,0.75,1,1,1,1,1,0,0,-1,1
fd8ac6d0540b19ce,cyprus,yes,45,18,2,0.8888888888888888,1,1,1,0,1,1,1,1,1
fd94d03aa3219de5,thailand,yes,35,19,0,0.6666666666666666,1,1,1,1,0,1,1,0,0
fda653a3a9e9699d,argentina,yes,37,11,2,1.0,1,1,1,1,1,1,1,1,1
fdbb088f8dff3e59,north_macedonia,neutral,29,18,1,0.25,1,0,0,1,0,0,0,-1,0
fdeaff7a85f626e6,thailand,no,37,18,4,0.625,1,1,1,1,0,1,0,-1,0
fe4a848784899bd9,japan,no,67,32,0,0.875,1,1,1,1,0,1,1,-1,1
fe510b0d9c285753,papua_new_guinea,yes,25,13,2,0.8888888888888888,1,1,1,1,1,1,1,0,1
feac602aa2254440,türkiye,no,48,10,4,0.625,0,1,1,1,1,1,0,-1,0
fec288435b93d9cc,ethiopia,yes,42,22,2,0.8888888888888888,1,1,1,1,1,1,1,0,1
ff0266f92b7c173b,malta,no,31,13,4,0.625,1,1,1,1,0,1,0,-1,0
ff6221c508e6a53a,romania,yes,30,11,2,0.8888888888888888,1,1,1,1,0,1,1,1,1
ff6fcdfb24e50ec5,myanmar,neutral,28,20,3,0.125,0,0,0,0,1,0,0,-1,0
ffa02cd3ae8d154d,fiji,yes,47,23,2,1.0,1,1,1,1,1,1,1,1,1
ffb9192fda6ca0dd,palestinian_territories,yes,37,24,2,0.8888888888888888,1,1,1,1,1,1,1,0,1
ffd20596d3564d10,palestinian_territories,no,31,12,1,0.625,1,1,0,1,1,1,0,-1,0
ffeb518904297559,egypt,no,32,13,4,0.5555555555555556,1,1,1,1,0,1,0,0,0
ffec0f0ea5e7181d,croatia,neutral,24,24,3,0.25,0,0,0,0,1,0,1,-1,0
